fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"29","3010",Verwaltungsgebäude,,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 50,"50",,,AX_Gebaeude,DEBE04YY50000DNe,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"317","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340038","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"38",,AX_Gebaeude,DEBE04YY50000PeF,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"419","2523",Umformer,,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"50","4",AX_Gebaeude,DEBE04YY50000Dkp,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"713","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"50","1",AX_Gebaeude,DEBE04YY50000A5h,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"781","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340050","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"50","3",AX_Gebaeude,DEBE04YY500002Dk,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"787","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340050","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"50","5",AX_Gebaeude,DEBE04YY50000EEG,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"1020","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340044","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"44","1",AX_Gebaeude,DEBE04YY50000NkJ,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"1045","1010",Wohnhaus,,,"1",,,,,,"9999",Sonstiges,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"50","2",AX_Gebaeude,DEBE04YY50000Obo,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"47","2142",Speichergebäude,,,"1",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","2",AX_Gebaeude,DEBE04YY50000JJU,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"50",,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00008,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"63",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500001vB,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"68","2142",Speichergebäude,,,"2",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","3",AX_Gebaeude,DEBE04YY500003H4,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"115",,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYNv0000C1,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"191",,,,,"3",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Rrd,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"192",,,,,"3",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYNv0000C8,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"264",,,,,"4",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000B7C,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"267","2120",Werkstatt,,,"3",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","4",AX_Gebaeude,DEBE04YY50000PWf,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"277","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"6",,,,,,,,,,"11000004023750002","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße 2,"2",,,AX_Gebaeude,DEBE04YY50000Qyp,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"314","2020",Bürogebäude,,,"8",,true,,,,,,,,"11000004051340001","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 1,"1",,,AX_Gebaeude,DEBE04YY500007aH,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"315","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,"11000004023750004","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße,,"4","1",AX_Gebaeude,DEBE04YY50000A1M,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"320","1130",Wohngebäude mit Gewerbe und Industrie,,,"4",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134","Lise-Meitner-Straße 7, 9",,,,AX_Gebaeude,DEBE00YYNv0000Bv,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"352",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000RiC,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"398",,,,,"7",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00003,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"480",,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00007,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"514",,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYNv0000C2,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"562","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"4",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 3,"3",,,AX_Gebaeude,DEBE04YY50000NMQ,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"595","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"6",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134",Lise-Meitner-Straße,,"7","1",AX_Gebaeude,DEBE00YYNv0000By,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"618",,,,,"3",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00001,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"642","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,"11000004023750012","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße 12,"12",,,AX_Gebaeude,DEBE04YY500007XO,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"651",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00002,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"655",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00006,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"662","2120",Werkstatt,,,"2",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","6",AX_Gebaeude,DEBE04YY50000RJv,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"752","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"2",,,,,,,,,,"11000004033120056","4200",Aus Katasterkarten digitalisiert,"03312",Olbersstraße 56,"56",,,AX_Gebaeude,DEBE04YY50000EA1,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"765",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Lig,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"893","2465",Tiefgarage,"1200",Unter der Erdoberfläche,"1","2",,,,,,,,,"11000004051340001","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"1","1",AX_Gebaeude,DEBE04YY50000Ffc,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"903",,,,,"3",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000OEv,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"905","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"4",,,,,,,,,,"11000004023750008","4200",Aus Katasterkarten digitalisiert,"02375","Keplerstraße 8, 10",,,,AX_Gebaeude,DEBE04YY50000Dil,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"912",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500002Rh,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"966",,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Y0T,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"989",,,,,"8",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00004,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"995","2142",Speichergebäude,,,"1",,,,,,,,,,"11000004023750004","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße,,"4","2",AX_Gebaeude,DEBE04YY500005p2,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"1014","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,"11000004023750004","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße,,"4","3",AX_Gebaeude,DEBE04YY5000071d,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"1026",,,,,"7",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00005,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"1097","2142",Speichergebäude,,,"2",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","5",AX_Gebaeude,DEBE04YY50000L7H,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"1107","2142",Speichergebäude,,,"2",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","1",AX_Gebaeude,DEBE04YY50000Afw,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"1162","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"1",,,,,,,,,,"11000004051340005","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 5,"5",,,AX_Gebaeude,DEBE04YY50000Cu4,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"1167","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"5",,,,,,,,,,"11000004023750004","4200",Aus Katasterkarten digitalisiert,"02375","Keplerstraße 4, 6",,,,AX_Gebaeude,DEBE04YY500005xe,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"12",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY5000044l,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"16","2523",Umformer,,,"1",,,,,,,,,,"11000004029560002","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"2","1",AX_Gebaeude,DEBE04YY50000Rbf,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"33",,,,,"1",,,"2510",Auskragende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04AL5dQ00000,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"44","2100",Gebäude für Gewerbe und Industrie,,,"3",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134",Lise-Meitner-Straße,,"45","3",AX_Gebaeude,DEBE00YY1ic0006m,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"95",,,,,"4",,,"1200",Höhergeschossiger Gebäudeteil (nicht Hochhaus),,,,,,,,,,,,,,AX_Bauteil,DEBE04AL5eG00003,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"134",,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500004DT,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"179",,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YBL,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"190","2160",Gebäude für Forschungszwecke,,,"4",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"02956",Max-Dohrn-Straße,,"10","29",AX_Gebaeude,DEBE04AL5dQ00002,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"215","2500",Gebäude zur Versorgung,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","12",AX_Gebaeude,DEBE04YY50000RTz,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"221","2083",Kantine,,,"2",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","13",AX_Gebaeude,DEBE04YY500004v3,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"228","2512",Pumpstation,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","21",AX_Gebaeude,DEBE04YY50000BaQ,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"229","2523",Umformer,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","10",AX_Gebaeude,DEBE04YY50000NKC,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"262",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000MLG,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"285","2142",Speichergebäude,,,"3",,,,,,,,,,"11000004051340039","4200",Aus Katasterkarten digitalisiert,"05134","Lise-Meitner-Straße 39, 41",,,,AX_Gebaeude,DEBE04YY500002bV,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"295",,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000J71,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"298","2020",Bürogebäude,,,"7",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße 10,"10",,,AX_Gebaeude,DEBE04YY5000068y,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"310",,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000KrL,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"338","2111",Fabrik,,,"4",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","1",AX_Gebaeude,DEBE04YY50000QBC,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"350","2100",Gebäude für Gewerbe und Industrie,,,"1",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"02956",Max-Dohrn-Straße,,"10","30",AX_Gebaeude,DEBE04AL1Yt00008,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"369",,,,,"6",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Y7O,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"382",,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YEz,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"405","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"02956",Max-Dohrn-Straße 8,"8",,,AX_Gebaeude,DEBE04AL5eG0000E,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"422","2100",Gebäude für Gewerbe und Industrie,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","11",AX_Gebaeude,DEBE04YY50000OeZ,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"425",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY153000Eb,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"430","2140",Gebäude für Vorratshaltung,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","26",AX_Gebaeude,DEBE04YY50000GmR,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"468","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"3",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","3",AX_Gebaeude,DEBE04YY50000EBB,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"516","2111",Fabrik,,,"7",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","17",AX_Gebaeude,DEBE04YY500008nI,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"530","2513",Wasserbehälter,,,"1",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","22",AX_Gebaeude,DEBE04YY50000EpR,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"533",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000PH2,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"537",,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Y5O,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"542","2560",Gebäude an unterirdischen Leitungen,,,"2",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","7",AX_Gebaeude,DEBE04YY5000010y,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"581","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"2",,,,,,,,,,"11000004051340045","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"45","2",AX_Gebaeude,DEBE04YY50000MoU,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
"605","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"7",,,,,,,,,,"11000004029560010","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"10","6",AX_Gebaeude,DEBE04YY50000B5G,,,,,,,,,,,,,,,,"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"177086.625000000000000",1998/10/08 00:00:00.000
